Trade name,INCI,Other designations,Other preservative trade names,CAS#,Type,Formula layer,Organic formulation,Butter type,Preservative type,Surfactant type 1,Surfactant type 2,Plant part,Process,Scent,Perfume note,Color,Presentation,Appearance,Melting point °C,Viscosity,Density,Saponification value,Acid value,Molecular weight,Description,Composition,Characteristics,Functions,Aroma-psychology - promotes:,Aroma-psychology - counteracts:,Properties/actions,Uses,Type of formulation,Mask usage,Solubility,Solidifies at,Temperature stability,Absorption rate,Iodine value - highest,Iodine value - lowest,Iodine value,pH as supplied,Application pH,Stable within a pH range of,Recommended dosage,Heat sensitive,Formulation tips,Heat and hold,Hazards / Safety data,Shelf life,Storage,Conservation tips,Co-X,Interchangeable with,Use with suggested chelator,Use with following preservatives,Compatibility with other surfactants,Incompatibility,Attention,Docs.,Photo(s),Link #1,Link #2,Studies,Stock,Notes,Alpha-Linolenic Acid avg,Arachidic Acid avg,Arachidonic Acid avg,Behenic Acid avg,Brassic Acid avg,Capric Acid avg,Caproic Acid avg,Caprylic Acid avg,Eicosadienoic Acid avg,Eicosatrienoic Acid avg,Elaidic Acid avg,Eleostearic Acid avg,Erucic Acid avg,Gadoleic/9-Eicosenoic Acid avg,Gamma-Linolenic Acid avg,Gondoic/11-Eicosenoic Acid avg,Lauric Acid avg,Lignoceric/Tetracosanoic Acid avg,Linoleic Acid avg,Myristic Acid avg,Nervonic Acid avg,Oleic Acid avg,Palmitic Acid avg,Palmitoleic Acid avg,Punicic Acid avg,Ricinoleic Acid avg,Stearic Acid avg,Stearidonic Acid avg,Vaccenic Acid avg,Unsaponifiables avg,Oil high in...,Blends well with,Stock origin,Active matter,Clay type,Safety - Therapeutic status,Safety - Skin irritation,Safety - Skin sensitization,Safety - Skin photosensitization,Dryness,Emulsion type,Use with,pH modifier
Andiroba Oil,Carapa Guianensis (Andiroba) Nut Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,Yellow,,,,,,,,,"The Andiroba tree is a large and towering tree found in the tropical rainforests of Brazil, forming an important part of the rain forest canopy.
Andiroba Oil has wonderful moisturizing and rejuvenating properties, soothing and healing to dull skin, this revitalizing oil is rich in myristic acid, which is known to promote cellular renewal. Andiroba oil is light and penetrates the skin quickly.  Currently being used as a natural oil base for many anti-wrinkle creams by several exclusive brand names. 
Renowned for its anti-inflammatory properties, Andiroba Oil can be used to promote circulation of blood in the skin and helps to relieve pain and swelling during an injury. It has antiviral, anti-fungal, and antibacterial properties.  The Indians in the Amazon have used andiroba oil for centuries as a natural insect repellent, for insect bites and stings; for psoriasis, dermatitis, heat rash, skin fungi, skin parasites and skin cancer.  Applying the oil  heated to joints can treat and relieve arthritis and rheumatism.  Andiroba oil is an anti-inflammatory oil rich in for skin Nourishment - omega-3 fatty acids. It promotes normal circulation to the skin and relieves pain and swelling.
To get the best results from a hair oil, you need to apply it correctly.  Heat some oil and apply the oil on your scalp and hair.  Dip a towel in hot water and wrap it around your hair.  The heat from the towel will make the hair follicles absorb the oil. Leave for up to half an hour.  Then wash your hair with a mild shampoo followed by a conditioner.  This treatment works wonders for dry coarse hair and helps to soften the strands and make it silky.
---
Seed oil of C. guianensis has traditionally been used as a household liniment for treatment of sprains, rashes, sore, and inflammation, as well as insect repellent by indigenous people.64 In the cosmetic industry, the seed oil is used as soap, cream, massage oil, etc.
The bitter taste, origin of name “andiroba” in the Tupi-Guarani language, is due to limonoids, highly oxygenated and modi ed terpenoids. Limonoids (30–41) are known to have a variety of biological activities like insecticidal, antifeedant, antibacterial, antimalarial, and antiviral.Recently, a number of limonoids have been isolated from the seed oil. Among them, carapanolide A (41) exhibited moderate cancer cell growth inhibition using murine L1210 leukemia cells with IC50 8.7 μM.21
High performance liquid chromatography (HPLC) method, optimized by central composite design, determined the amount of four limonoids, gedunin (31), 6α-acetoxygedunin (32), 7-desacetoxy-7-ox- ogedunin (33), and methyl angolensate (37), being 33 most abundant.
The sticky and white fruit of P. insignis is consumed row by local people, and is often made into various condiments and beverages due to its distinctive taste with pleasant odor and subacid  avor. The seeds contain high amount of oil, being used for treatment of eczemas and herpes. In cosmetics, the oil is used as soap, skin care product, and moisturizer, but the cultivation is very limited and most of the fruit production is extractive.
Analysis of the volatile fractions of the fruits demonstrated that terpene alcohols (42–51) are the most abundant, and among them, linalool (42) and related compounds (43–51) may indicate the bio- synthetic origin.
The antioxidant and toxicity activities of the dichloromethane and ethyl acetate fractions of ethanolic extract of the seeds were evaluated.Both fractions demonstrated in vitro antio-2,2 -azino-bis(3-ethylbenzothiazoline-6-sulphonic acid) diammonium salt (ABTS) assays, as well as in vivo effects in antioxidant- -defective Saccharomyces cerevisiae strains. These activities could be attributed to xanthones (52, 53), present in these fractions as major compounds. The xanthones isolated from other species have been reported to demonstrate anti-cancer and anti-inflammatory activities.
Garcinielliptone FC (54), a polyisoprenylated benzophenones, present in the seed of P. insignis, promoted an endothelium-independent vasorelaxation on phenylephrine-induced vasoconstriction.
(https://authorzilla.com/MZExY/amazon-rainforest-cosmetics-chemical-approach.html)",,,,,,,,,,,,,,75,65,65 - 75,,,,,❌,,,,,,,,,,,,,,,Andiroba Oil.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/KSRXgvIkQaYOTsdQsEHOTQ/apFBKkQnoEbt79m6ahSnjNYNN0gLHzSJUTeGU3v4enZLrYSi0Rco9FXLWUGz5FwpgJ29B3ddscJe4AfYgV1Mdwy60CLQfGPvMh3aZ8xsMEqhQW_8KpEHxKz-H94h29YICvGq5hYZBGTXYjczGlEdSA/p1yO2uxUQgeaqX7W1BvnGl6rzENKOkDNu2yoUJTIDas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarcticine,"Water, Pseudoalteromonas Ferment Extract, Salicylic Acid, Sodium Hydroxide",,,,Active,Functional,Accepted,,,,,,,,,"Colourless,White",Liquid,Translucent solution,,,1.05,,,,"A Glycoprotein from the Antarctic Sea with cryoprotective, restructuring and antiwrinkle properties.



During the Antarctic summer of 1988, a Spanish scientific expedition collected mud samples from the inlet Admiralty Bay, on King George Island, Antarctica. A new bacterial strain, Pseudoalteromonas Antarctica, was isolated from these samples and characterized. During growth, the bacteria produced an extracellular material, an exopolymer of glycoproteins believed to help the bacteria retain water, adhere to surfaces, and withstand the extreme cold.

Its protective function in nature has been applied in cosmetics by the scientists at Lipotec to regenerate and protect the skin.

Skin Restructuring

In nature, Antarcticine® has the function of protecting the bacteria against harsh conditions. In cosmetics, Antarcticine® maintains its natural bioprotective properties and promotes keratinocyte growth and fibroblast adhesion for a skin regenerating effect and enhanced wound healing.

Anti-Wrinkle Properties

In Vitro Test

An in-vitro skin model composed of keratinocytes and fibroblasts was used to monitor the levels of Collagen I, Collagen IV, and Elastin. The proteins were measured by western blot.

Collagen I increased 128% in 15 days
Collagen IV increased 81% in 15 days
Elastin Levels increased 31% in 15 days
In Vivo Test on Volunteers

Skin topography analyses were performed by obtaining silicon imprints from around the eyes of 10 healthy women volunteers.

The product tested was a cream containing 5% Antarcticine and it was applied twice daily for 30 days.  Analysis of silicon imprints obtained before and after 30 days of treatment indicated the depth of wrinkles decreased an average of 44%, with maximum values between 50 and 60%.

Benefits of Antarcticine®

Helps the skin retain water, preventing cutaneous dryness
Presents a cryoprotective effect due to its ability to modify the morphology of ice crystals
Stimulates fibroblast adhesion and keratinocyte growth, regenerating tissues and enabling a faster healing of wounds
Increased collagen type I and IV, as well as elastin, resulting in a restructured skin and a reduction in wrinkles
Reduces the depth of wrinkles, especially on the forehead and around the eyes
Incorporation: Add at the end of the emulsion, at cool down, below 40°C (104°F).  Stable over a pH range from 3.0 to 7.5.  When preparing a gel, it should be added to the water phase.
(Lotion Crafter)",,,,,,"increases collagen IV levels,increases the speed of wound healing,induces elastin synthesis,moisturizing,preventing cutaneous dryness,prevents water loss,promotes cellular growth,protection against extreme cold environments,reduces redness,reduces wrinkles,regenerating,skin toner,stimulates collagen I synthesis","cold exposed skin,dry skin,mature skin,premature aging,wounds; scratches","Creams,Body cream,Anti-aging products,Sensitive skin products",,Water,,,,,,,3.0 – 4.5,,3.0 - 7.5,1 - 5%,❌,"Add at the end of the emulsion, at cool down, below 40°C (104°F).  Stable over a pH range from 3.0 to 7.5.  When preparing a gel, it should be added to the water phase.",,,2 years from date of manufacture when stored properly. ,fridge,"Store in
refrigerator in a tightly sealed container. In rare cases, storage of product in the refrigerator can
cause precipitation of preservative; this does not affect the integrity of the product.",,,,,,Oxidants and strong electrophiles.,,"marketing_antarcticine_v8.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/K0LVJMw8oldRJvwRCbAa6w/4WmTVUUslSsebCH7Srco_0byY601ZvqL4lWJy8XN69QSicmKZ4HqmWjFLt0qMICEJ4CeW-SxHa-3_WLvY8kwTO_ZVAb7jAzLlE4jply3tsIh3CPYkYLKagI-FCEkBn3t/1M3vH711Fm34YcDDW86MKXaz1ahEKt_TiRuB4nYEasE),Specification_Sheet_-_Antarcticine.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/vF02sRUwWrKWah1Cn3EuEA/kK7g53JEKfVp4VHxN0lwmMhVpe7E5bu4U6J3ujCz4tE82ytFkPxtqKGflcgnJlsvYvGqNjPDJH-x-yYi365fVQBDq3yN1laNvZMp8B1c6r8lcYPBYUC04hngaxCKI1re/LMG14F23DsFN_f7wJL4cYO-Zr6O-8ddgbgQlLfbjnfk),tech_report_antarcticine_v26.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/cD4CEXdR_gPwi3r3zCrtow/h4OV5COND_cVJUlFCroWTPPFFjZnkdEXCjDinMjslzdAFjvHLUHPzjYKkonnn0OERmQR-JfkwUi0teoTtJDwQ_QZ3FfN8hjjcK-70wF_fkOr2t6x8rnAmcjnyHXAyEp-/NJ3s6n-LzGiiKPF6cuhhEh3xiymmyl3P4273B14JqMo)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple flower,Datura stramonium,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,"2017-08-20 12.23.02.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/qE-3om8hgDhI5GK1Pwm1qw/qtKv_tK0X0wjpvr75sBp8xKUlqTJfaCMo88H_YChdDH1gYI58oOaBOSP1Mx1GwRy6nXB3eJRmKSmpkT9FDJ-T7PqdU9EdbtZucXEtIVW1kI/GQ_wzOgQRRH5cGlMS_VQWe-66-a3NQBfmaH7NG6t6tk),2017-08-20 12.23.06.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/y7B75e4_xnNvAtEy6LANGQ/j2K9d_D4dMX_3VH2UhdQC0AHh7vyOz16Zs4L7cZuyAu3qHurmggqGdjjJf5AJRIuHOAxRJ-X-UAnamg63iXbc40Zb-bpfAHAqA1dE0S8u44/6Nkm4yw4HKEdEtvatqMxMabTIX3q3QtQHjFlizZz_wE),2017-08-20 12.19.53.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/mOC0OP7UuzVZBQmAikIhdA/wjOmy9teAQ--zwvSarnjmdGUGRL2uNqmtBLZMyc4MflEHmLmG_9ONNgCY6hCk8mgtmdvv0xZBq5OAb2n1sCYVTJgCevvcXLxIDOJ9UueVN0/Y-PQmb5K6n02hAmtgyea2cjz7yfG9q-p1GEaRxjbhdQ)",,,,,"Potential medicinal benefits of Apple Flower Tea: reduces stress, aids in digestion, clears complexion.

The apple flower is often used in the Chinese medicine for promote skincare, help digestion, detoxify liver, promote blood circulation, and nourish blood.   The herb can be used with rose and orange flower.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricot Kernel  Oil,Prunus Armeniaca (Apricot) kernel oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,"None,Slight",,"Pale yellow,Colourless",,,,,,,,,,,Light texture,,,,"moisturizing,prevents wrinkles,reduces inflammation,reduces wrinkles,relieves dry skin,skin nourishing","dry skin,mature skin,premature aging,sensitive skin,wrinkles",,,,,,Fast,112,104,104 - 112,,,,,✅,,,,,,,,,,,,,,,Apricot Kernel  Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/RAalShVUEP554dR-G9sNuw/yqkKq0vUtpmfx6D7qXmvB6_gihRu_MCONqx3gvoC4939VUDeqRREkpd-siLklP91nXPp8wg0AVTbOvbX_74rN7q3eypr487_6CrkMaVuGL4xFxmOWK3FlT_vtPgm-s3FdNfKFgrVEzm4gTB2DrJLFRwR5uX_U-81Hy0Ki_yRTH9RBFWKEWVaew5gK7_yfGcRhvJLz3lGKxp6xdRxPQNPkn-vEr4aEWNnSK5KUHX5uQY/iv-_8sx1xJIlSEp-NWtyyl9nPl_94f13xROprhIb5Wk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argan Oil,Argania Spinosa (Argan) Kernel Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,"Pale yellow,Light amber",,,,light-medium,,,,,"Argan Oil
The nuts of the argan tree are predominantly harvested in Morocco. Although argan oil is a relatively new and unfamiliar beauty product in the United States, it has actually been a skin care staple for many generations of Mediterranean women.

It is believed to make skin softer and more beautiful, and is also used to promote healthy hair growth and strong nails.

The science certainly backs this up because argan oil is abundant in vitamin E, which is one of the most essential nutrients for maintaining healthy skin, and is an added ingredients in almost all synthetic skin care products.

In addition to this, argan oil contains essential fatty acids, omega 6, carotene and squalene. Beauty industry experts believe that topical application of these nutrients can be just as beneficial as ingesting them.

Although the high level of nutrients in Argan oil means that it will promote radiant skin in most users, it is of particular benefit to women who are suffering from conditions such as rosacea, acne or psoriasis.

Applying an oily product to the skin may seem counter intuitive, if your acne is caused by excessive levels of sebum. But actually evidence seems to indicate that argan oil can inhibit sebum production, thereby improving acne.

The antioxidants in argan oil can also help to tackle the causes of problems such as psoriasis.

At the same time, the oil has very soothing properties which reduces puffiness, lessens the prominence of any red patches, and promotes a clear and even complexion.

But are there any negatives? Adverse reactions to argan oil are extremely rare, and are unlikely to be something which users need to worry about.

The only thing that seems to put some people off is the strong, distinctive nutty smell. If you find the aroma unpleasant, look for argan oil based beauty products which combine it with other ingredients to improve the scent.

Argan oil is great for people who have a condition such as acne. Users report a great improvement in the condition of their skin following several weeks of use.
(http://www.arganoilexperts.com/is-argan-oil-better-than-rosehip-oil/)
-----------------------------------------------

My personal favorite! Make sure to buy certified organic, cold pressed, unrefined Moroccan argan oil. Argan oil is high in vitamin E, essential acids and retinol which combat free radicals that damage skin cells and cause premature aging. It's highly anti-inflammatory and will help ease eczema, psoriasis, acne and sensitivity issues. Argan oil deeply penetrates skin and is absorbed easily so it won't leave you feeling greasy. Argan oil makes a great after-sun treatment due to the high amount of vitamin E, which can heal UV damage. It also restores elasticity and reduces wrinkles. Talk about liquid gold!
(argan-republic.com)",,Fast absorption,,,,"emollient,hydrating,prevents stretch marks,protecting,reduces stretch marks,reduces wrinkles","acne-prone skin,scars",,,,,,Average,99,96,96 - 99,,,,,❌,,,,"6 mo. cool, dark",,,,,,,,,,,Argan Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/d84p4xJXammHm6uzUROsrg/zoa0iKjxaqqHyAN1dHBGMj3WGfZXsBPKhpP0xt-oBKykclrEbY6Uqy3ecdgQ9f30yXymdLEQVc_ZM-Qr6ibyfSGSzsMCaTKsacaeav3UyuCrTmljxQoRLydPAPGjixjtPolmXogKnnH7-T7BFyCvFXN4bAezdFM0g0rQSQjAaDY/cI7rzV2B7m8PRtQokNGy6v-7Z509NQlO_gr-BsWZMjI),,,,,,0.5,0.4,,,,,,,,,,,,0.5,,,,,33,0.2,,46,13,,,,5.6,,,1,,,,,,,,,,,,,
Avocado Oil,Persea Gratissima (Avocado) Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,65,65 - 95,,,,,❌,,,,,,,,,,,,,,,Avocado Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/w3YQ9nD0Hpb8Hc-jPD-7Qg/PyHal-thXX5rz0x1P-uovKViAWXLG_y4AAec-cCGP_iKn2pP3LTBm2Vj9WHxWHYvEUwkJbZl_iKPY4nr7L_yyTnv6kAH-iDBXpcMhRKC_867krpy5SYfqU0lHU6F8EKLhCbyFM6HhGi8LqTzJ2d-pXiiCd-7LdTCP7XoHPHpMAQm1hjynMQQvol_1qrgI1X7/fOJ2YsrVFH3Fdvp1DXgKkAamzFDClrrjZGjcA-XDf5o),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oleic Acid,,,,,,,,,,,,
Babassu Oil,Orbignya Oleifera (Babassu) Seed Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,,,Yellow,,,,medium,,,,,,,,,,,"antibacterial,healing,moisturizing","dry skin,itching,protectant",,,,,,Average,17,10,17-Oct,,,,,❌,,,,12 months,,,,,,,,,,,Babassu Oil.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/S7qw8IwSp85ATCT-wLpkHA/uVzHJZWBKbtRwOT7cVyEg_MZFYe-L2wVAiOCGESKNCML26ZVKWi5D95PZRN5Ys5-Dme9-TIW-REBISXulxkAfz3F6vK4qlxIB7eTfFvBC8ye6GQCGr2CTPTe0_zR6DE2JMkQn2slw_vU1Kz1aHWWk9iuVTo0cWLWICgiSSH1vrs/PMo0yGNQHlgFGKyh_6HrmYa3b_6yt17GFOlMa0zSC5c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bamboo hydrosol,Bambusa vulgaris,,,,Hydrosol,Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,,,,,,"Usei dobro de cosgard - qd novo vier, misturar com este e dp dividir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bamboo Isoflavones,"	
Lactobacillus/Arundinaria gigantea Leaf Ferment Filtrate",,,,"Others,Thickener / Stabiliser",Functional,Accepted,,,,,,,,,Orange-brown,Liquid,,,heavy,,,,,Natural alternative to silicone elastomer solutions that will also provide potent antioxidant and anti-aging benefits thanks to its capability to enhance collagen synthesis.,,,"anti-oxidant,improves slip",,,"anti-aging,hair protection,hair softener and smoother,increases collagen synthesis,protection against environmental stressors that can cause damage to hair,skin protection","damaged hair,damaged skin,mature skin,premature aging",,,,,,,,,,,4.0-7.0,3.5-6.0,1-10%,❌,"FSS Bamboo Isoflavones PF is a direct replacement of a silicon elastomer solution. For example, if 5% of a silicon elastomer solution is intended to be added into a formulation, 5% of FSS Bamboo Isoflavones PF is required to replace it.
 - At what temperature can FSS Bamboo Isoflavones PF be added into a formulation? 50°C or less.",,,,,,,"Dimethicone,Broccoli Seed Oil",,,,,,,Arundinaria gigantea.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/fz_DIhAgVHDg73wwLMXrgQ/xyq5yyCCR49H6fxawy8JiITuR7KkZFl7vzwSO8RPwEIAJWDpQ-44NpGtYdvioQbYlfySWCIjo_bIzn_BVWiam2Yj85fgk_v7ZzzPf6qlZNag9PQvhAg4PO73pa_53SBw/xM2dHBMCt92dvwQfLQSxaUfwWCO-1V-_7458doPmsts),,,,☠️ Bamboo Isoflavones / 247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,,,,,,,,
Bamboo stem powder,Bambusa arundinacea stem powder,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,White,Solid,"Poudre très fine de couleur blanche, conditionnée dans un petit pot transparent",,,,,,,"Silice végétale : environ 96 %
Granulométrie: 1 à 30 microns
Il existe de nombreux extraits de bambou, de qualités et prix très différents : pour comparer et bien choisir, assurez-vous qu'il s'agit bien de poudre pure de sève de bambou et que la granulométrie est égale ou inférieure à 50 microns, granulométrie nécessaire pour confectionner du maquillage et avoir un toucher non abrasif, et n'oubliez pas de comparer les pourcentages en silice.

MAQUILLAGE:
PROPRIÉTÉS
Toucher doux, soyeux et satiné grâce à une granulométrie ultrafine
Agent matifiant et couvrant
Haute capacité d’absorption des poudres colorantes : parfait comme support pour le maquillage coloré poudreux
Réduit l’exsudation des rouges à lèvres
Augmente le volume des mascaras
UTILISATIONS
S'utilise en tant qu'ingrédient dans vos préparations pour maquillage :

Poudres libres ou compactes
Ombres à paupières
Blush
Rouges à lèvres
Mascaras
Fonds de teint poudre ou crème

BEAUTÉ:
PROPRIÉTÉS
Reminéralisant, le bambou est un concentré de silice végétale
Raffermissant et tonique cutané
Toucher doux, soyeux et satiné grâce à une granulométrie ultrafine
Agent matifiant et couvrant
Absorbe la transpiration excessive
Excellent support poudreux pour les préparations de cosmétiques secs
Exfoliant très doux
Rend plus facile l’application et la dispersion de lotions ""maison"" pour le corps
INDICATIONS
Peaux mixes à grasses
Peaux fatiguées
Transpiration
Relâchement cutané
Hygiène dentaire
UTILISATIONS
S'utilise en tant qu'ingrédient dans vos préparations :

Crèmes matifiantes
Déodorants et produits anti-transpirants
Soins douceur pour le visage ou le corps
Soins remodelants, raffermissants (post grossesse) et amincissants : laits, crèmes, gels…
Soins reminéralisants pour les peaux fatiguées
Soins exfoliants très doux

SOIN DE LA BOUCHE:
PROPRIÉTÉS
Concentré de silice végétale
Agent abrasif doux : nettoie et blanchit les dents
pH alcalin : neutralise l'acidité de la bouche
UTILISATIONS
S'utilise en tant qu'ingrédient dans vos préparations :

Dentifrices
Pâtes blanchissantes pour les dents

SOIN DES CHEVEUX:
PROPRIÉTÉS
Concentré de silice végétale : reminéralise et fortifie les cheveux
INDICATIONS
Cheveux mous et sans volume
Cheveux fragiles ou abîmés
UTILISATIONS
S'utilise en tant qu'ingrédient dans vos préparations :

Shampooings
Masques capillaires et après-shampooing
Lotions capillaires et produits coiffants

Le bambou est une plante appartenant à la famille des Poacées. Adapté à de nombreux climats, on le retrouve à l'état naturel presque partout sur la planète à l'exception de l'Europe et de l'Antarctique. Bien que le bambou soit lignifié cela n'en fait pas pour autant un arbre. Cette graminée géante, présente une croissance extrêmement rapide. Ses racines ou plus précisément ses rhizomes lui permettent de s'étendre en touffes voire même d'envahir les jardins et ruisseaux.

Sa richesse en silice lui confère une rigidité étonnante. Ainsi, le bois de bambou est très solide et résistant. Néanmoins, le bambou casse rarement et présente une flexibilité surprenante. A la fois flexible et résistant, ce bois est donc idéal pour bien des applications : ornementales, habitats, décorations...
En tant qu'ingrédient cosmétique, la sève de bambou est utilisée pour sa richesse en silice végétale, qui régénère et tonifie la peau et les cheveux, ainsi que pour son toucher doux et matifiant.

Cet extrait de bambou est composé à 100% de la sève de bambou adulte (Tabasheer). Sa richesse exceptionnelle en silice et sa granulométrie ultrafine en font un actif d'exception pour la formulation de produits de maquillage poudreux.
Son toucher doux et soyeux, sa haute capacité d'absorption des poudres colorantes ainsi que son pouvoir matifiant sont remarquables. C'est un ingrédient incontournable pour de nombreuses préparations : rouges à lèvres, mascaras, ombres à paupières, fonds de teint, déodorants, soins pour peaux mixtes et grasses,... Il est également connu pour ses propriétés raffermissantes et toniques très utiles dans les soins minceur ou post-grossesse.

Le bambou est une plante appartenant à la famille des Poacées. Adapté à de nombreux climats, on le retrouve à l'état naturel presque partout sur la planète à l'exception de l'Europe et de l'Antarctique. Bien que le bambou soit lignifié cela n'en fait pas pour autant un arbre. Cette graminée géante, présente une croissance extrêmement rapide. Ses racines ou plus précisément ses rhizomes lui permettent de s'étendre en touffes voire même d'envahir les jardins et ruisseaux.

Sa richesse en silice lui confère une rigidité étonnante. Ainsi, le bois de bambou est très solide et résistant. Néanmoins, le bambou casse rarement et présente une flexibilité surprenante. A la fois flexible et résistant, ce bois est donc idéal pour bien des applications : ornementales, habitats, décorations...
En tant qu'ingrédient cosmétique, la sève de bambou est utilisée pour sa richesse en silice végétale, qui régénère et tonifie la peau et les cheveux, ainsi que pour son toucher doux et matifiant.","Récolte de la sève de bambou, séchage et micronisation",,,,,"exfoliant,mattifier","damaged hair,hair volume,mixed skin,oily skin,thin hair",,,Suspension,,,,,,,,,,"1 - 50% - 1 à 50% dans les mélanges poudreux 0.5 à 3% dans les crèmes et laits 1 à 10% dans les gels, lotions et produits moussants 0.5 à 10% dans les baumes et sticks",❌,"Parfaitement dispersible sous agitation dans l'eau

Dans les mélanges poudreux : introduire la Sève de bambou en l'état en la mélangeant bien avec les autres poudres, idéalement au mortier pour les produits de maquillage.

Dans les préparations aqueuses : émulsions (crèmes, laits), gels, produits moussants... : incorporer la Sève de bambou en fin de préparation ou en phase aqueuse dès le début (notamment dans les gels). 

La Sève de bambou peut être chauffée en phase aqueuse.

La Sève de bambou ayant un pH alcalin, elle tend à augmenter le pH des préparations aqueuses. Il est donc nécessaire de contrôler le pH en fin de préparation et si besoin de l'ajuster avec de l'acide lactique ou de l'acide citrique.

La Sève de bambou ayant un pH alcalin, elle peut s'utiliser comme ajusteur de pH pour augmenter le pH de vos préparations aqueuses (crèmes, laits, gels, lotions...). Ajoutez la Sève de bambou par petites quantités dans votre préparation, en mélangeant bien puis testez le pH avec une bandelette de papier pH. Renouvelez l'opération jusqu'à obtention du pH désiré.

Dans les baumes, sticks, rouges à lèvres : disperser la Sève de bambou dans la préparation huileuse fondue.",,,,room temperature,,,,,,,,,,plante-seve-bambou.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/vrUmqY--aKbzxs2RrDhyig/iNb4OHTiG0nYLAr5WfEZfcTDttnd0c9capHwDdFh0zhLHPSKcq-KyL3atBE5Xz8RSIs8UGnafiqm5SuRQneaq7lCPBWt32cY6zz-vGuKzBc/_pC0Ol51jNand7_8yhOMoischpb8dEZbFa4zC98PRXE),https://www.aroma-zone.com/info/fiche-technique/poudre-seve-de-bambou-aroma-zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
